selection_manual_fix,weighted_votes
Duvidha,2
Eden,2
El Sur,2
Elephant: 2003,2
Eltávozott Nap,2
Emperor Of The North,2
Enthusiasm,2
Eureka,2
Faces Places,2
Far From Heaven,2
Fat City,2
Fata Morgana,2
Fatima's Letter,2
Faust  Eine Deutsche Volkssage,2
Fellini-Satyricon,2
Female Trouble,2
Fight Club,2
Film D'amore E D'anarchia,2
Fire Will Come,2
Flaming Creatures,2
Flowers Of Shanghai,2
For A Few Dollars More,2
For Sama,2
Francisca,2
Fuego En Castilla,2
Gallivant,2
Ghost World,2
Gloria: 1980,2
Gojira,2
Gold Diggers Of 1933,2
Goldfinger,2
Gone Girl,2
Gong Fu,2
"Goto, L'ile D'amour",2
Hard To Be A God,2
Hat Wolff Von Amerongen Konkursdelikte Begangen?,2
Hausu,2
Heimat: A Chronicle Of Germany,2
Heliu,2
Helpmates,2
High Life,2
Home From The Hill,2
"Hotel Terminus (Klaus Barbie, His Life And Times)",2
Housekeeping,2
Howards End,2
Howl's Moving Castle,2
Hsimeng Jensheng,2
Huang Tudi,2
Il Caso Mattei,2
Il Grande Silenzio,2
Il Portiere Di Notte,2
Il Posto,2
Illusions,2
Images Of The World And The Inscription Of War,2
Inazuma,2
Inception,2
Indagine Su Un Cittadino Al Di Sopra Di Ogni Sospetto,2
Indiana Jones And The Last Crusade,2
Inferno,2
Inglourious Basterds,2
Inside Llewyn Davis,2
Irréversible,2
Ivan Grozni Ii  Boyarski Zagorov,2
Jane B. Par Agnes V.,2
Johnny Flash,2
Jukti Takko Ar Gappo,2
Just Another Girl On The I.r.t.,2
Juventude Em Marcha,2
Kangchenjunga,2
Kárhozat,2
Keuk Jang Jeon,2
Kiss Me Deadly,2
Ko To Tamo Peva,2
Kongbufenzi,2
Kuhle Wampe Oder Wem Gehort Die Welt?,2
"L' Hippocampe Ou ""Cheval Marin""",2
L'invitation Au Voyage,2
La Batalla De Chile: La Lucha De Un Pueblo Sin Armas: La Insur Eccion De La Burguesia,2
La Caduta Degli Dei,2
La Canta Delle Marane,2
La Commune,2
La Fée Aux Choux,2
La Grande Bouffe,2
La Meglio Gioventù,2
La Niña Santa,2
La Nuit Américaine,2
La Région Centrale,2
La Souriante Madame Beudet,2
La Voie Lactée,2
Lady Bird,2
Lady Windermere's Fan,2
Laura,2
Lazzaro Felice,2
Le Boucher,2
Le Jour Se Lève,2
Le Livre D'image,2
Le Navire Night,2
Le Quai Des Brumes,2
Les Choses De La Vie,2
Les Triplettes De Belleville,2
Les Vampires,2
Les Yeux Ne Veulent Pas En Tout Temps Se Fermer Ou Peut-Être Qu' Un Jour Rome Se Permettra De Choisir À Son Tour,2
Letter From My Village,2
Letyat Zhuravli,2
Leviathan: 2014,2
Lift To The Scaffold,2
Little Fugitive,2
Little Shop Of Horrors,2
Local Hero,2
Lola Rennt,2
Lonesome,2
Louisiana Story,2
Love Affair,2
Maeve,2
Make Way For Tomorrow,2
Man Of Aran,2
Margaret,2
Mary And Max,2
Masculin Féminin  15 Faits Précis,2
Master And Commander  The Far Side Of The World,2
Material,2
Maudite Soit La Guerre,2
Max Mon Amour,2
Mccabe & Mrs. Miller,2
Merry Christmas Mr. Lawrence,2
Midsommar,2
Miller's Crossing,2
Monkey Business: 1931,2
Ms.45,2
Multiple Maniacs,2
Mutter Küsters Fahrt Zum Himmel,2
My Own Private Idaho,2
Mysterious Skin,2
Na Srebrnym Globie,2
Naissance Des Pieuvres,2
Near Dark,2
Network,2
Night Of The Demon,2
Nitrate Kisses,2
Notre Nazi,2
Nowhere,2
"Nuestra Voz De Tierra, Memoria Y Futuro",2
Nuts In May,2
Okraina,2
Olympia,2
Om Shanti Om,2
One Flew Over The Cuckoo's Nest,2
Os Mutantes,2
Our Hospitality,2
Paddington,2
Parsifal,2
Pas De Deux,2
Paths Of Glory,2
Peggy And Fred In Hell,2
Penda's Fen,2
Peppermint Candy,2
Petulia,2
Planet Of The Apes,2
Possibly In Michigan,2
Predator,2
Pressure,2
Punch-Drunk Love,2
Raw,2
Rebecca,2
Recordações Da Casa Amarela,2
Red River,2
Red Road,2
Remorques,2
Rentrée Des Classes,2
Repulsion,2
"Right Now, Wrong Then",2
Robocop,2
Rope,2
Route One/Usa,2
Salesman,2
Salvatore Giuliano,2
Sarineui Chueok,2
Saving Private Ryan,2
Scener Ur Ett Äktenskap,2
Secrets & Lies,2
Senso,2
Seppuku,2
Seven Chances,2
Shadow Of A Doubt,2
Shao Lin Sa Liu Fang,2
Shaun Of The Dead,2
She Wore A Yellow Ribbon,2
"Sho O Suteyo, Machi E Deyo (Throw Away Your Books, Let's Go Into The Streets)",2
Shoes,2
Showgirls,2
Snow White And The Seven Dwarfs,2
Sommaren Med Monika,2
Son Of Saul,2
Sonatine,2
Sorcerer,2
Sortie D'usine,2
Spare Time,2
Stagecoach,2
Standard Gauge,2
Star Wars  Episode V  The Empire Strikes Back,2
Stars In My Crown,2
Starship Troopers,2
Steamboat Willie,2
Strange Days,2
Stranger Than Paradise,2
Straw Dogs,2
Street Of Crocodiles,2
Superstar: The Karen Carpenter Story,2
Sylvie,2
Tabu,2
Tea And Sympathy,2
Terje Vigen,2
Tetsuo,2
The Age Of Innocence,2
The American Friend,2
The Art Of Vision,2
The Asphalt Jungle,2
The Assassin,2
The Babadook,2
The Ballad Of Sexual Dependency,2
The Battle Of The Somme,2
The Bigamist,2
The Blair Witch Project,2
The Body Remembers When The World Broke Open,2
The Chelsea Girls,2
The City Of God,2
The Clock: 2010,2
The Death Of Louis Xiv,2
The Docks Of New York,2
