selection_manual_fix,weighted_votes
Requiem For A Dream,2
Robocop,2
Roma Città Aperta,2
Salesman,2
Seppuku,2
Shao Lin Sa Liu Fang,2
Shatranj-E Baad,2
Shaun Of The Dead,2
Short Cuts,2
Skammen,2
Soft Fiction,2
Soleil Ô,2
Speed Racer,2
Star Wars,2
Star Wars  Episode V  The Empire Strikes Back,2
Steamboat Willie,2
Straw Dogs,2
Street Of Crocodiles,2
Suna No Onna,2
Superstar: The Karen Carpenter Story,2
Suspense,2
Sweet Smell Of Success,2
Syndromes And A Century,2
"Synecdoche, New York",2
Teorema,2
The Act Of Seeing With One's Own Eyes,2
The Age Of Innocence,2
The Ballad Of Sexual Dependency,2
The Body Remembers When The World Broke Open,2
The Cook The Thief His Wife & Her Lover,2
The Crowd,2
The Docks Of New York,2
The End Of Evangelion,2
The Exorcist,2
The Girl Chewing Gum,2
The Gold Diggers,2
The Heartbreak Kid,2
The Intruder,2
The Last Black Man In San Francisco,2
The Long Goodbye,2
The Man Who Shot Liberty Valance,2
The Music Box,2
The Rider,2
The Scarlet Empress,2
The Silence Of The Lambs,2
The Student Prince In Old Heidelberg,2
The Talented Mr. Ripley,2
The Tales Of Hoffmann,2
The Thin Red Line,2
The Tree Of Life,2
The Unknown,2
The Virgin Suicides,2
The Wild Party,2
The Women,2
Thelma & Louise,2
This Is England,2
Timbuktu,2
Time,2
Titane,2
Top Hat,2
Toy Story 2,2
U.s. Go Home,2
Umberto D.,2
Un Chant D'amour,2
Volver,2
Vredens Dag,2
Wagon Master,2
Wasp,2
Wayne's World,2
Welcome Ii The Terrordome,2
Wendy And Lucy,2
Who Framed Roger Rabbit,2
William Shakespeare's Romeo + Juliet,2
Withnail & I,2
Wo Hu Zang Long,2
Wonderland,2
Yeelen,2
Yojimbo,2
Yulskii Dozhd,2
Zabriskie Point,2
Zama,2
Zangiku Monogatari,2
Zéro De Conduite,2
Zhantai,2
Zuihaode Shiguang,2
A Night Of Knowing Nothing,1.5
Aparajito,1.5
Bamako,1.5
"Belfast, Maine",1.5
Bound,1.5
Breaking The Waves,1.5
Burning An Illusion,1.5
Cameraperson,1.5
Christine,1.5
Chronicle Of A Summer,1.5
Crip Camp,1.5
Crooklyn,1.5
Dong,1.5
Duvidha,1.5
Gangs Of Wasseypur,1.5
Hable Con Ella,1.5
Harold And Maude,1.5
Hit The Road,1.5
"Il Mostro È In Tavola, Barone... Frankenstein  Carne Per Frankenstein",1.5
It's A Gift,1.5
La Planète Sauvage,1.5
Les Amants Du Pont-Neuf,1.5
Local Hero,1.5
Marnie,1.5
Mikey And Nicky,1.5
Monty Python's Life Of Brian,1.5
Mothlight,1.5
"Mujeres Al Borde De Un Ataque De ""Nervios""",1.5
Ninotchka,1.5
Opening Night,1.5
Peeping Tom,1.5
Persepolis,1.5
Portrait Of Jason,1.5
Profondo Rosso,1.5
Shane,1.5
Stray Dogs,1.5
Subarnarekha,1.5
The Devils,1.5
The Hour Of The Furnaces,1.5
The Portrait Of A Lady,1.5
The Power Of The Dog,1.5
The Red Balloon,1.5
The Shop Around The Corner,1.5
The Travelling Players,1.5
The Wonders,1.5
Three Colours Blue,1.5
Vivre Sa Vie,1.5
"""First Reformed""",1
(At) The Lock-In (Wip),1
12 Angry Men,1
1917,1
20th Century Women,1
3 Women,1
35 Rhums,1
36 Chowringhee Lane,1
45 Years,1
7th Heaven,1
A Bitter Taste Of Freedom,1
A Cottage On Dartmoor,1
A Diary For Timothy,1
A Ghost Story,1
A Girl At My Door,1
A History Of Violence,1
A Man For All Seasons,1
A Moment Of Innocence,1
À Nous La Liberté,1
A Pigeon Sat On A Branch Reflecting On Existence,1
A Prairie Home Companion,1
À Propos De Nice,1
A Separation,1
A Serious Man,1
A Star Is Born,1
A Taste Of Honey,1
A Torinói Ió,1
A Tree Grows In Brooklyn,1
A.k.a. Serial Killer,1
Aaaaaaaah!,1
Accident,1
After Cease To Exist,1
Aien-Kyo,1
Aiqing Wansui,1
Alice,1
Alice Doesn't Live Here Anymore,1
Alice In Den Städten,1
Alice In Russialand,1
All This Can Happen,1
Alpha,1
Alphaville  Une Etrange Aventure De Lemmy Caution,1
Amadeus,1
Amar Akbar Anthony,1
Amarcord,1
Amator,1
Amélie,1
American Psycho,1
American Splendor,1
Amistad,1
Amy,1
An American Werewolf In London,1
An Autumn's Tale,1
An Unusual Summer,1
Anatomy Of Hell,1
Andalucia,1
Andaz,1
Aniara,1
Anna,1
Antena,1
Antoine Et Antoinette,1
Archipelago,1
Arrival,1
Ask A Policeman,1
Atanarjuat The Fast Runner,1
Atanarjuat: The Fast Runner,1
Atlantic Rhapsody 52 Myndir Úr Tórshavn,1
Atonement,1
Attack The Block,1
Auntie Mame,1
Avalon,1
Ayneh,1
Baahubali  The Beginning,1
Baby Face,1
Babymother,1
Babyteeth,1
Back To The Future Part Ii,1
Bakita Byaktigato (The Rest Is Personal),1
Balikbayan #1 Memories Of Overdevelopment Redux Iii,1
Ballet,1
Balletomines (Mining Review 7th Year No.12),1
Bambi,1
Bande À Part,1
Bara No Soretsu,1
Bariera,1
Barton Fink,1
Basic Instinct,1
Battle Royale,1
Beats Per Minute,1
Beautiful Thing,1
Bedevil  Mr. Chuck  Choo Choo Choo Choo  Lovin' The Spin I'm In,1
Before Sunrise,1
Begone Dull Care,1
Being John Malkovich,1
Belle,1
Belovy,1
Beoning,1
Bharat Mata,1
Bildnis Einer Trinkerin,1
Bill And Ted's Excellent Adventure,1
Billy Elliot,1
Bioshock,1
Birth,1
"Black Coal, Thin Ice",1
Black Dynamite,1
Black Snow,1
Blackmail,1
Blaise Pascal,1
Blazing Saddles,1
Blithe Spirit,1
Blood,1
Blowjob,1
