selection_manual_fix,weighted_votes
The Assassination Of Jesse James By The Coward Robert Ford,1
The Awful Truth,1
The Babadook,1
The Baby Of Mâcon,1
The Bad And The Beautiful,1
The Battle Of Algiers,1
The Big Sky,1
The Birds,1
The Body Beautiful,1
The Bridge On The River Kwai,1
The Brood,1
The Changeling,1
The Clock: 2010,1
The Criminal,1
The Dying Swan,1
The Emperor's Naked Army Marches On,1
The Exorcist,1
The Favourite,1
The Godfather Part Ii,1
The Gospel According To St. Matthew,1
The Great Buddha+,1
The Green Ray,1
The House Is Black,1
The Kid,1
The Last Picture Show,1
The Lives Of Others,1
The Long Goodbye,1
The Lord Of The Rings  The Fellowship Of The Ring,1
The Magnificent Ambersons,1
The Man Who Shot Liberty Valance,1
The Pajama Game,1
The Patsy,1
The Pirate,1
The Power Of The Dog,1
The Private Life Of Sherlock Holmes,1
The Purple Rose Of Cairo,1
The Quince Tree Sun,1
The Ring,1
The Robber Symphony,1
The Smiling Lieutenant,1
The Terminator,1
The Thin Blue Line,1
The Thing,1
The Tragedy Of Macbeth,1
The Wedding March,1
The Wind,1
The Wizard Of Oz,1
Thelma & Louise,1
They Were Expendable,1
Three Years Without God,1
Tih Minh,1
To Be Or Not To Be,1
To Sleep With Anger,1
"Too Early, Too Late",1
Toomelah,1
Top Of The Lake,1
Tout Va Bien,1
Toute La Mémoire Du Monde,1
Tristana,1
Twin Peaks: Fire Walk With Me,1
Tystnaden,1
U.s. Go Home,1
Ugetsu Monogatari,1
Ukigumo,1
Umarete Wa Mita Keredo,1
Un Chien Andalou,1
Un Tranquillo Posto In Campagna,1
Unconcealed Poetry (Puisi Tak Terkuburkan),1
Under The Skin: 2013,1
Une Femme Est Une Femme,1
Unforgiven,1
Vagabond,1
Valerie A Tyden Divu,1
Vivre Sa Vie,1
Werckmeister Harmonies,1
When We Were Kings,1
White Heat,1
Wife! Be Like A Rose!,1
Wild River,1
Wings,1
Winter's Bone,1
Wolfwalkers,1
Written On The Wind,1
Wu Jian Dao,1
Yangguang Canlan De Rizi,1
Yi Dai Zong Shi,1
Yi Jiang Chunshui Xiang Dong Liu,1
Yol,1
You Were Never Really Here,1
Young Mr. Lincoln,1
Zama,1
Zendegi Va Digar Hich...,1
Zéro De Conduite,1
Zhi Fa Xian Feng,1
...E Tu Vivrai Nel Terrore! L'aldila,0.5
2046,0.5
Angel,0.5
Anna,0.5
Behindert,0.5
Buio Omega,0.5
By The Time It Gets Dark,0.5
Cemetery Of Splendour,0.5
Decasia,0.5
Die Klavierspielerin,0.5
Dracula Cerca Sangue Di Vergine E... Morì Di Sete!!!,0.5
Duck Amuck,0.5
Earthlings,0.5
Empire,0.5
Get Out,0.5
Hellbound  Hellraiser Ii,0.5
