selection_manual_fix,weighted_votes
"Bom, Teoreum, Gaeul, Gyeowool, Geurigo, Bom",4
Bride Of Frankenstein,4
Call Me By Your Name,4
Certain Women,4
Charade,4
Compensation,4
Copie Conforme,4
Crime Wave,4
Crossroads,4
Dalla Nube Alla Resistenza,4
Dayereh,4
Dazed And Confused,4
Démanty Noci,4
Dersu Uzala,4
Deux Anglaises Et Le Continent,4
Die Ehe Der Maria Braun,4
Dishonored,4
Do Ma Dan,4
"Dr. Mabuse, Der Spieler 1. Teil: Der Große Spieler  Spieler - Ein Bild Unserer Zeit",4
Dragon Inn,4
Ebolusyon Ng Isang Pamilyang Pilipino,4
Empire,4
Enthusiasm,4
Eve's Bayou,4
Faces Places,4
"Faster, Pussycat! Kill! Kill!",4
Faust  Eine Deutsche Volkssage,4
Fish Tank,4
Freaks,4
Gegen Die Wand,4
Gone To Earth,4
Hail The Conquering Hero,4
Hannah And Her Sisters,4
Harold And Maude,4
Hatari!,4
I Am Not Your Negro,4
Im Lauf Der Zeit,4
Inception,4
Ingeborg Holm,4
Inglourious Basterds,4
Ivan Grozni Ii  Boyarski Zagorov,4
Jeder Für Sich Und Gott Gegen Alle,4
Johanna D'arc Of Mongolia,4
Juventude Em Marcha,4
Klassenverhältnisse,4
Kongbufenzi,4
La Carrozza D'oro,4
Lady Bird,4
Land Without Bread,4
Le Salaire De La Peur,4
Le Voyage Dans La Lune,4
Les Amants Du Pont-Neuf,4
Les Nuits De La Pleine Lune,4
Les Vampires,4
Leviathan: 2012,4
Lola Rennt,4
Loves Of A Blonde,4
Madeo,4
Margaret,4
Maynila Sa Mga Kuko Ng Liwanag,4
Memento,4
Midare-Gumo,4
Midnight Cowboy,4
Mildred Pierce,4
Miracolo A Milano,4
Mistérios De Lisboa,4
"Moi, Un Noir",4
Monsieur Verdoux,4
Morocco,4
Moulin Rouge,4
Mr. Klein,4
Nazareno Cruz Y El Lobo,4
Nothing But A Man,4
Oblomok Imperii,4
Om Shanti Om,4
Onna Ga Kaidan O Agaru Toki,4
Oxhide Ii,4
Paddington 2,4
Pakeezah,4
Paprika,4
Peeping Tom,4
Quatre Nuits D'un Rêveur,4
Rain,4
Red River,4
Remorques,4
Requiem For A Dream,4
Riddles Of The Sphinx,4
"Right Now, Wrong Then",4
Roma: 1972,4
Route One/Usa,4
Russki Kovcheg,4
Salesman,4
Salvatore Giuliano,4
Scener Ur Ett Äktenskap,4
Schindler's List,4
Scorpio Rising,4
Secrets & Lies,4
Sennen Joyu,4
Seppuku,4
Shanghai Express,4
Shao Lin Sa Liu Fang,4
Short Cuts,4
Soft Fiction,4
Sonatine,4
Spider-Man  Into The Spider-Verse,4
Stagecoach,4
Stand By Me,4
Star Wars  Episode V  The Empire Strikes Back,4
Stars In My Crown,4
Superstar: The Karen Carpenter Story,4
Sweet Smell Of Success,4
"Synecdoche, New York",4
The Act Of Seeing With One's Own Eyes,4
The Arbor,4
The Assassin,4
The Ballad Of Narayama,4
The Crucified Lovers,4
The Exorcist,4
The French Connection,4
The Girl Chewing Gum,4
The Graduate,4
The Grapes Of Wrath,4
The Killing Of A Chinese Bookie,4
The Lady Vanishes,4
The Last Picture Show,4
The Maltese Falcon,4
The Reckless Moment,4
The Shawshank Redemption,4
The Smiling Lieutenant,4
The Talented Mr. Ripley,4
The Treasure Of The Sierra Madre,4
The Unknown,4
The Virgin Spring,4
The Wonders,4
The Wrong Trousers,4
Thelma & Louise,4
They Live By Night,4
Time,4
Tirez Sur Le Pianiste,4
Titicut Follies,4
To Have And Have Not,4
To Sleep With Anger,4
Topio Stin Omichli,4
U.s. Go Home,4
Unsichtbare Gegner,4
Vale Abraão,4
Vivir En Sevilla,4
Wall-E,4
Went The Day Well?,4
When Harry Met Sally...,4
Whiplash,4
Wild At Heart,4
Within Our Gates,4
Working Girls: 1986,4
Yol,4
You Were Never Really Here,4
Yulskii Dozhd,4
Zastava Ilyicha,4
12 Years A Slave,3
1900,3
25th Hour,3
"4 Luni, 3 Saptamini Si 2 Zile",3
7th Heaven,3
A Corner In Wheat,3
A Diary For Timothy,3
A Ghost Story,3
A History Of Violence,3
A Lullaby To The Sorrowful Mystery,3
A Moment Of Innocence,3
A Night Of Knowing Nothing,3
À Nos Amours,3
À Propos De Nice,3
After Hours,3
Alexandrie Encore Et Toujours,3
American Graffiti,3
Amor De Perdição,3
Amsterdam Global Village,3
Anna,3
Anticipation Of The Night,3
Assault On Precinct 13,3
Badkonak-E Sefid,3
Bambi,3
Bamboozled,3
Berlin Symphony Of A City,3
Bildnis Einer Trinkerin,3
Bless Their Little Hearts,3
Body And Soul,3
Body Double,3
Bouquets 1-10,3
Brokeback Mountain,3
Bukchon Banghyang (The Day He Arrived),3
But I'm A Cheerleader,3
C'eravamo Tanto Amati,3
Camp De Thiaroye,3
Carlito's Way,3
Cat People,3
Cet Obscur Objet Du Désir,3
City Girl,3
Closely Observed Trains,3
Clouds Of Sils Maria,3
Cluny Brown,3
Crip Camp,3
Cul-De-Sac,3
Czlowiek Z Marmuru,3
Daguerréotypes,3
