selection_manual_fix,weighted_votes
Utopia,2
Variety,2
"Visit, Or Memories And Confessions",2
Vivir En Sevilla,2
Vredens Dag,2
Welfare,2
When The Wind Blows,2
Yeelen,2
Yulskii Dozhd,2
Zabriskie Point,2
Zendegi Va Digar Hich...,2
Zimna Wojna,2
Zir-E Darakhtan-E Zeyton,2
Zodiac,2
A Streetcar Named Desire,1.5
Anna,1.5
Ba Wang Bie Ji,1.5
City Girl,1.5
Crimes And Misdemeanors,1.5
Do The Right Thing,1.5
Dolgie Provody,1.5
Duck Amuck,1.5
Falling Lessons,1.5
Free Radicals,1.5
Girlhood,1.5
Harold And Maude,1.5
Häxan,1.5
Kurutta Ippeiji,1.5
L'homme Atlantique,1.5
La Gueule Ouverte,1.5
La Planète Sauvage,1.5
Land Of Silence And Darkness,1.5
Le Crime De M. Lange,1.5
Le Navire Night,1.5
Le Notti Di Cabiria,1.5
Le Plaisir,1.5
Les Vampires,1.5
Lilith,1.5
Master And Commander  The Far Side Of The World,1.5
Monty Python's Life Of Brian,1.5
"Mujeres Al Borde De Un Ataque De ""Nervios""",1.5
Ninotchka,1.5
Nuit Et Jour,1.5
Okraina,1.5
Outrage,1.5
Paprika,1.5
Portrait Of Jennie,1.5
Predator,1.5
Requiem For A Dream,1.5
Spalovac Mrtvol,1.5
Stray Dogs,1.5
Sullivan's Travels,1.5
Terra Em Transe,1.5
The Crowd,1.5
The Devils,1.5
The Life And Death Of Colonel Blimp,1.5
The Smiling Lieutenant,1.5
The Sun Shines Bright,1.5
True Heart Susie,1.5
Window Water Baby Moving,1.5
Ze Soboty Na Nedeli,1.5
An Elephant Sitting Still,1.3333333333333333
Taste Of Cherry,1.3333333333333333
¡Vivan Las Antípodas!,1
...All The Marbles,1
...E Tu Vivrai Nel Terrore! L'aldila,1
"""My Friend Ivan Lapshin""",1
[Enema Medley],1
0 Principio Da Incerteza,1
10,1
2046,1
25th Hour,1
28 Days Later...,1
3:10 To Yuma,1
322,1
4 Aventures De Reinette Et Mirabelle,1
"4 Luni, 3 Saptamini Si 2 Zile",1
71 Fragmente Einer Chronologie Des Zufalls,1
79 Primaveras,1
A Agonia,1
A Canterbury Tale,1
A Cavallo Della Tigre,1
A Cock And Bull Story,1
A Countess From Hong Kong,1
A Diary For Timothy,1
A Foreign Affair,1
A Ghost Story,1
A Girl And A Tree,1
A Hidden Life,1
A History Of Violence,1
A Horse Is Not A Metaphor,1
A King In New York,1
A Moment Of Romance,1
A Movie,1
A Pair Of Tights,1
A Place In The Sun,1
A Room With A View,1
A Sixth Part Of The World,1
A Star Is Born,1
A Touch Of Sin,1
A Woman Of Paris (Production Material),1
Abendland,1
Abre Los Ojos,1
Accattone,1
Acuérdate De Vivir,1
